Region,Seed,Team,R1_Win%,R2_Win%,S16_Win%,E8_Win%,F4_Win%,Champ%,Blowout%,Hautlist,Avg_400K,Min_400K,Max_400K,Avg_450K,Min_450K,Max_450K,Avg_500K,Min_500K,Max_500K,Avg_550K,Min_550K,Max_550K,Avg_600K,Min_600K,Max_600K,Avg_650K,Min_650K,Max_650K,Avg_700K,Min_700K,Max_700K,Avg_750K,Min_750K,Max_750K,Avg_800K,Min_800K,Max_800K,KenPom_600K,Massey_600K,BPI_600K,538_600K
East,9,TCU,37.2,4.5,1.6,0.5,0.1,0.0,2.0,,1701,1287,2398,1914,1448,2698,2127,1608,2998,2339,1769,3297,2552,1930,3597,2765,2091,3897,2977,2252,4196,3190,2412,4496,3403,2573,4796,2523,3597,1930,2498
East,10,UCF,31.5,7.0,1.9,0.3,0.1,0.0,2.1,,1650,1186,2224,1856,1334,2502,2062,1482,2780,2269,1631,3058,2475,1779,3336,2681,1927,3614,2888,2076,3892,3094,2224,4170,3300,2372,4448,2699,3336,1779,2447
East,11,South Florida,26.0,6.9,2.0,0.4,0.1,0.0,2.3,Y,1501,918,1813,1688,1033,2039,1876,1148,2266,2063,1262,2492,2251,1377,2719,2439,1492,2946,2626,1606,3172,2814,1721,3399,3001,1836,3625,2440,2671,1377,2719
East,12,Northern Iowa,17.7,4.5,0.5,0.1,0.0,0.0,2.6,,936,696,1095,1053,783,1232,1170,870,1368,1287,957,1505,1404,1044,1642,1521,1131,1779,1638,1218,1916,1755,1305,2052,1872,1392,2189,1571,1642,1044,1496
East,13-16,"Cal Baptist, N. Dakota St.",26.2,3.9,0.3,0.0,0.0,0.0,11.6,,1481,1082,1939,1666,1217,2182,1852,1352,2424,2037,1488,2667,2222,1623,2909,2407,1758,3151,2592,1894,3394,2778,2029,3636,2963,2164,3879,2192,2909,1635,2372
Midwest,1,Michigan,98.5,85.1,64.9,43.8,26.9,15.4,0.0,,31397,20607,35261,35321,23183,39668,39246,25759,44076,43170,28335,48483,47095,30911,52891,51020,33487,57299,54944,36063,61706,58869,38639,66114,62793,41215,70521,51916,30911,48873,52891
Midwest,2,Iowa St.,97.8,74.9,49.7,24.4,12.6,6.0,0.1,Y,20272,17851,21622,22806,20083,24325,25340,22314,27028,27874,24546,29730,30408,26777,32433,32942,29008,35136,35476,31240,37838,38010,33471,40541,40544,35703,43244,29821,26777,32433,31195
Midwest,3,Virginia,91.8,51.3,19.9,6.7,2.4,0.8,0.3,,9199,7100,10171,10348,7988,11443,11498,8875,12714,12648,9762,13986,13798,10650,15257,14948,11538,16528,16098,12425,17800,17248,13312,19071,18397,14200,20343,15257,10650,13725,14997
Midwest,4,Alabama,88.1,59.0,19.1,8.6,3.5,1.3,0.4,,10126,7945,13419,11392,8938,15097,12658,9932,16774,13923,10925,18452,15189,11918,20129,16455,12911,21806,17720,13904,23484,18986,14898,25161,20252,15891,26839,11918,20129,15182,14082
Midwest,5,Texas Tech,77.2,33.5,9.7,4.0,1.5,0.5,0.7,,6158,4329,8814,6928,4870,9916,7698,5411,11018,8467,5952,12119,9237,6493,13221,10007,7034,14323,10776,7575,15425,11546,8116,16526,12316,8657,17628,10405,13221,8547,6493
Midwest,6,Tennessee,76.8,40.7,17.8,7.0,3.0,1.2,0.7,,8326,6880,12275,9367,7740,13810,10408,8600,15344,11448,9460,16879,12489,10320,18413,13530,11180,19947,14571,12040,21482,15611,12900,23016,16652,13760,24551,10730,18413,11880,10320
Midwest,7,Kentucky,64.9,18.1,8.5,2.8,1.0,0.3,1.1,,4530,3364,6283,5096,3784,7069,5662,4205,7854,6229,4626,8640,6795,5046,9425,7361,5466,10210,7928,5887,10996,8494,6308,11781,9060,6728,12567,5046,9425,6411,6593
Midwest,8,Georgia,56.1,9.2,3.7,1.2,0.3,0.1,1.4,,2862,2172,4179,3220,2444,4701,3578,2715,5223,3935,2986,5746,4293,3258,6268,4651,3529,6790,5008,3801,7313,5366,4072,7835,5724,4344,8357,4010,6268,3258,4201
Midwest,9,Saint Louis,43.9,5.5,1.9,0.5,0.1,0.0,1.7,,1969,1921,2068,2215,2162,2326,2461,2402,2585,2707,2642,2844,2953,2882,3102,3199,3122,3360,3445,3362,3619,3691,3602,3878,3937,3843,4136,2889,2899,3102,2882
Midwest,10,Santa Clara,35.1,6.8,2.3,0.5,0.1,0.0,2.0,,1819,1151,2420,2047,1294,2722,2274,1438,3025,2502,1582,3328,2729,1726,3630,2956,1870,3932,3184,2014,4235,3411,2158,4538,3639,2301,4840,3630,3234,1726,2793
Midwest,11,Miami (OH) / SMU,23.2,7.1,1.7,0.4,0.1,0.0,2.8,,1417,1173,1829,1594,1320,2057,1772,1467,2286,1949,1613,2514,2126,1760,2743,2303,1907,2972,2480,2053,3200,2658,2200,3429,2835,2347,3657,2422,2741,1760,1884
Midwest,12,Akron,22.8,4.8,0.5,0.1,0.0,0.0,2.4,,1088,800,1369,1224,900,1540,1360,1000,1712,1496,1100,1883,1632,1200,2054,1768,1300,2225,1904,1400,2396,2040,1500,2568,2176,1600,2739,1674,1604,1200,2054
Midwest,13-16,"Hofstra, Wright St.",23.9,4.0,0.3,0.0,0.0,0.0,11.7,,1424,1143,1907,1602,1286,2145,1780,1429,2383,1958,1572,2622,2136,1715,2860,2314,1858,3098,2492,2001,3337,2670,2144,3575,2848,2287,3813,2191,2578,1760,2181
